type,category,vacancy_type,vacancy,lastupdate,time of api
P,HOURLY,A,0,2021-03-24 14:57:04,2021-03-24 15:00:00+00:00
P,HOURLY,A,0,2021-03-24 15:11:03,2021-03-24 15:15:00+00:00
P,HOURLY,A,4,2021-03-24 15:27:04,2021-03-24 15:30:00+00:00
P,HOURLY,A,7,2021-03-24 15:41:04,2021-03-24 15:45:00+00:00
P,HOURLY,A,15,2021-03-24 15:57:04,2021-03-24 16:00:00+00:00
P,HOURLY,A,26,2021-03-24 16:13:03,2021-03-24 16:15:00+00:00
P,HOURLY,A,26,2021-03-24 16:27:04,2021-03-24 16:30:00+00:00
P,HOURLY,A,33,2021-03-24 16:43:03,2021-03-24 16:45:00+00:00
P,HOURLY,A,38,2021-03-24 16:57:04,2021-03-24 17:00:00+00:00
P,HOURLY,A,31,2021-03-24 17:13:04,2021-03-24 17:15:00+00:00
P,HOURLY,A,38,2021-03-24 17:27:03,2021-03-24 17:30:00+00:00
P,HOURLY,A,40,2021-03-24 17:43:04,2021-03-24 17:45:00+00:00
P,HOURLY,A,40,2021-03-24 17:57:04,2021-03-24 18:00:00+00:00
P,HOURLY,A,50,2021-03-24 18:11:04,2021-03-24 18:15:00+00:00
P,HOURLY,A,47,2021-03-24 18:27:04,2021-03-24 18:30:00+00:00
P,HOURLY,A,48,2021-03-24 18:41:04,2021-03-24 18:45:00+00:00
P,HOURLY,A,43,2021-03-24 18:57:03,2021-03-24 19:00:00+00:00
P,HOURLY,A,39,2021-03-24 19:13:03,2021-03-24 19:15:00+00:00
P,HOURLY,A,38,2021-03-24 19:41:04,2021-03-24 19:45:00+00:00
P,HOURLY,A,43,2021-03-24 19:55:04,2021-03-24 20:00:00+00:00
P,HOURLY,A,40,2021-03-24 20:13:03,2021-03-24 20:15:00+00:00
P,HOURLY,A,44,2021-03-24 20:27:04,2021-03-24 20:30:00+00:00
P,HOURLY,A,54,2021-03-24 20:43:34,2021-03-24 20:45:00+00:00
P,HOURLY,A,61,2021-03-24 20:57:04,2021-03-24 21:00:00+00:00
P,HOURLY,A,79,2021-03-24 21:27:03,2021-03-24 21:30:00+00:00
P,HOURLY,A,87,2021-03-24 21:43:04,2021-03-24 21:45:00+00:00
P,HOURLY,A,99,2021-03-24 21:57:03,2021-03-24 22:00:00+00:00
P,HOURLY,A,111,2021-03-24 22:11:05,2021-03-24 22:15:00+00:00
P,HOURLY,A,122,2021-03-24 22:27:04,2021-03-24 22:30:00+00:00
P,HOURLY,A,129,2021-03-24 22:42:04,2021-03-24 22:45:00+00:00
P,HOURLY,A,131,2021-03-24 22:57:04,2021-03-24 23:00:00+00:00
P,HOURLY,A,131,2021-03-24 23:11:04,2021-03-24 23:15:00+00:00
P,HOURLY,A,131,2021-03-24 23:27:03,2021-03-24 23:30:00+00:00
P,HOURLY,A,133,2021-03-24 23:42:03,2021-03-24 23:45:00+00:00
P,HOURLY,A,133,2021-03-24 23:57:04,2021-03-25 00:00:00+00:00
P,HOURLY,A,133,2021-03-25 00:11:04,2021-03-25 00:15:00+00:00
P,HOURLY,A,134,2021-03-25 00:27:04,2021-03-25 00:30:00+00:00
P,HOURLY,A,134,2021-03-25 00:41:03,2021-03-25 00:45:00+00:00
P,HOURLY,A,136,2021-03-25 00:57:03,2021-03-25 01:00:00+00:00
P,HOURLY,A,136,2021-03-25 01:11:04,2021-03-25 01:15:00+00:00
P,HOURLY,A,136,2021-03-25 01:27:03,2021-03-25 01:30:00+00:00
P,HOURLY,A,136,2021-03-25 01:41:03,2021-03-25 01:45:00+00:00
P,HOURLY,A,136,2021-03-25 01:57:04,2021-03-25 02:00:00+00:00
P,HOURLY,A,136,2021-03-25 02:11:03,2021-03-25 02:15:00+00:00
P,HOURLY,A,137,2021-03-25 02:27:03,2021-03-25 02:30:00+00:00
P,HOURLY,A,137,2021-03-25 02:43:03,2021-03-25 02:45:00+00:00
P,HOURLY,A,137,2021-03-25 02:57:03,2021-03-25 03:00:00+00:00
P,HOURLY,A,137,2021-03-25 03:11:04,2021-03-25 03:15:00+00:00
P,HOURLY,A,137,2021-03-25 03:27:04,2021-03-25 03:30:00+00:00
P,HOURLY,A,137,2021-03-25 03:43:03,2021-03-25 03:45:00+00:00
P,HOURLY,A,137,2021-03-25 03:57:03,2021-03-25 04:00:00+00:00
P,HOURLY,A,137,2021-03-25 04:11:04,2021-03-25 04:15:00+00:00
P,HOURLY,A,137,2021-03-25 04:27:04,2021-03-25 04:30:00+00:00
P,HOURLY,A,137,2021-03-25 04:41:03,2021-03-25 04:45:00+00:00
P,HOURLY,A,137,2021-03-25 04:57:03,2021-03-25 05:00:00+00:00
P,HOURLY,A,137,2021-03-25 05:13:04,2021-03-25 05:15:00+00:00
P,HOURLY,A,137,2021-03-25 05:27:03,2021-03-25 05:30:00+00:00
P,HOURLY,A,137,2021-03-25 05:41:03,2021-03-25 05:45:00+00:00
P,HOURLY,A,137,2021-03-25 05:57:03,2021-03-25 06:00:00+00:00
P,HOURLY,A,137,2021-03-25 06:11:03,2021-03-25 06:15:00+00:00
P,HOURLY,A,137,2021-03-25 06:27:04,2021-03-25 06:30:00+00:00
P,HOURLY,A,137,2021-03-25 06:43:03,2021-03-25 06:45:00+00:00
P,HOURLY,A,137,2021-03-25 06:57:03,2021-03-25 07:00:00+00:00
P,HOURLY,A,137,2021-03-25 07:13:04,2021-03-25 07:15:00+00:00
P,HOURLY,A,137,2021-03-25 07:27:04,2021-03-25 07:30:00+00:00
P,HOURLY,A,136,2021-03-25 07:43:03,2021-03-25 07:45:00+00:00
P,HOURLY,A,134,2021-03-25 07:57:03,2021-03-25 08:00:00+00:00
P,HOURLY,A,134,2021-03-25 08:13:03,2021-03-25 08:15:00+00:00
P,HOURLY,A,129,2021-03-25 08:26:03,2021-03-25 08:30:00+00:00
P,HOURLY,A,123,2021-03-25 08:41:04,2021-03-25 08:45:00+00:00
P,HOURLY,A,123,2021-03-25 08:57:04,2021-03-25 09:00:00+00:00
P,HOURLY,A,116,2021-03-25 09:11:04,2021-03-25 09:15:00+00:00
P,HOURLY,A,111,2021-03-25 09:27:04,2021-03-25 09:30:00+00:00
P,HOURLY,A,107,2021-03-25 09:41:04,2021-03-25 09:45:00+00:00
P,HOURLY,A,106,2021-03-25 09:57:04,2021-03-25 10:00:00+00:00
P,HOURLY,A,102,2021-03-25 10:13:04,2021-03-25 10:15:00+00:00
P,HOURLY,A,93,2021-03-25 10:27:04,2021-03-25 10:30:00+00:00
P,HOURLY,A,87,2021-03-25 10:43:03,2021-03-25 10:45:00+00:00
P,HOURLY,A,70,2021-03-25 10:57:04,2021-03-25 11:00:00+00:00
P,HOURLY,A,65,2021-03-25 11:11:04,2021-03-25 11:15:00+00:00
P,HOURLY,A,60,2021-03-25 11:27:04,2021-03-25 11:30:00+00:00
P,HOURLY,A,48,2021-03-25 11:41:04,2021-03-25 11:45:00+00:00
P,HOURLY,A,42,2021-03-25 11:57:04,2021-03-25 12:00:00+00:00
P,HOURLY,A,40,2021-03-25 12:11:03,2021-03-25 12:15:00+00:00
P,HOURLY,A,37,2021-03-25 12:27:03,2021-03-25 12:30:00+00:00
P,HOURLY,A,23,2021-03-25 12:43:04,2021-03-25 12:45:00+00:00
P,HOURLY,A,13,2021-03-25 12:57:03,2021-03-25 13:00:00+00:00
P,HOURLY,A,1,2021-03-25 13:13:04,2021-03-25 13:15:00+00:00
P,HOURLY,A,0,2021-03-25 13:27:04,2021-03-25 13:30:00+00:00
P,HOURLY,A,0,2021-03-25 13:41:04,2021-03-25 13:45:00+00:00
P,HOURLY,A,1,2021-03-25 13:57:04,2021-03-25 14:00:00+00:00
P,HOURLY,A,0,2021-03-25 14:13:04,2021-03-25 14:15:00+00:00
P,HOURLY,A,0,2021-03-25 14:27:04,2021-03-25 14:30:00+00:00
P,HOURLY,A,0,2021-03-25 14:41:05,2021-03-25 14:45:00+00:00
P,HOURLY,A,0,2021-03-25 14:57:03,2021-03-25 15:00:00+00:00
P,HOURLY,A,0,2021-03-25 15:13:04,2021-03-25 15:15:00+00:00
P,HOURLY,A,7,2021-03-25 15:27:04,2021-03-25 15:30:00+00:00
P,HOURLY,A,15,2021-03-25 16:13:03,2021-03-25 16:15:00+00:00
P,HOURLY,A,6,2021-03-25 16:27:03,2021-03-25 16:30:00+00:00
P,HOURLY,A,11,2021-03-25 16:41:04,2021-03-25 16:45:00+00:00
P,HOURLY,A,12,2021-03-25 16:57:04,2021-03-25 17:00:00+00:00
P,HOURLY,A,4,2021-03-25 17:11:03,2021-03-25 17:15:00+00:00
P,HOURLY,A,14,2021-03-25 17:27:04,2021-03-25 17:30:00+00:00
P,HOURLY,A,23,2021-03-25 17:41:04,2021-03-25 17:45:00+00:00
P,HOURLY,A,40,2021-03-25 18:11:04,2021-03-25 18:15:00+00:00
P,HOURLY,A,42,2021-03-25 18:27:04,2021-03-25 18:30:00+00:00
P,HOURLY,A,39,2021-03-25 18:43:04,2021-03-25 18:45:00+00:00
P,HOURLY,A,28,2021-03-25 18:57:04,2021-03-25 19:00:00+00:00
P,HOURLY,A,27,2021-03-25 19:13:03,2021-03-25 19:15:00+00:00
P,HOURLY,A,23,2021-03-25 19:27:04,2021-03-25 19:30:00+00:00
P,HOURLY,A,23,2021-03-25 19:41:03,2021-03-25 19:45:00+00:00
P,HOURLY,A,17,2021-03-25 19:57:04,2021-03-25 20:00:00+00:00
P,HOURLY,A,10,2021-03-25 20:12:03,2021-03-25 20:15:00+00:00
P,HOURLY,A,25,2021-03-25 20:28:03,2021-03-25 20:30:00+00:00
P,HOURLY,A,28,2021-03-25 20:41:03,2021-03-25 20:45:00+00:00
P,HOURLY,A,37,2021-03-25 20:57:05,2021-03-25 21:00:00+00:00
P,HOURLY,A,42,2021-03-25 21:12:03,2021-03-25 21:15:00+00:00
P,HOURLY,A,83,2021-03-25 21:43:04,2021-03-25 21:45:00+00:00
P,HOURLY,A,115,2021-03-25 22:11:04,2021-03-25 22:15:00+00:00
P,HOURLY,A,130,2021-03-25 22:25:04,2021-03-25 22:30:00+00:00
P,HOURLY,A,134,2021-03-25 22:41:33,2021-03-25 22:45:00+00:00
P,HOURLY,A,137,2021-03-25 22:57:04,2021-03-25 23:00:00+00:00
P,HOURLY,A,138,2021-03-25 23:13:04,2021-03-25 23:15:00+00:00
P,HOURLY,A,138,2021-03-25 23:27:05,2021-03-25 23:30:00+00:00
P,HOURLY,A,138,2021-03-25 23:43:04,2021-03-25 23:45:00+00:00
P,HOURLY,A,138,2021-03-25 23:57:04,2021-03-26 00:00:00+00:00
P,HOURLY,A,138,2021-03-26 00:12:04,2021-03-26 00:15:00+00:00
P,HOURLY,A,139,2021-03-26 00:25:04,2021-03-26 00:30:00+00:00
P,HOURLY,A,139,2021-03-26 00:42:04,2021-03-26 00:45:00+00:00
P,HOURLY,A,139,2021-03-26 00:56:09,2021-03-26 01:00:00+00:00
P,HOURLY,A,139,2021-03-26 01:12:03,2021-03-26 01:15:00+00:00
P,HOURLY,A,139,2021-03-26 01:26:04,2021-03-26 01:30:00+00:00
P,HOURLY,A,139,2021-03-26 01:42:03,2021-03-26 01:45:00+00:00
P,HOURLY,A,139,2021-03-26 01:58:03,2021-03-26 02:00:00+00:00
P,HOURLY,A,139,2021-03-26 02:12:04,2021-03-26 02:15:00+00:00
P,HOURLY,A,139,2021-03-26 02:26:03,2021-03-26 02:30:00+00:00
P,HOURLY,A,139,2021-03-26 02:41:04,2021-03-26 02:45:00+00:00
P,HOURLY,A,139,2021-03-26 02:56:03,2021-03-26 03:00:00+00:00
P,HOURLY,A,139,2021-03-26 03:11:04,2021-03-26 03:15:00+00:00
P,HOURLY,A,139,2021-03-26 03:27:04,2021-03-26 03:30:00+00:00
P,HOURLY,A,139,2021-03-26 03:41:04,2021-03-26 03:45:00+00:00
P,HOURLY,A,139,2021-03-26 03:55:04,2021-03-26 04:00:00+00:00
P,HOURLY,A,139,2021-03-26 04:11:08,2021-03-26 04:15:00+00:00
P,HOURLY,A,139,2021-03-26 04:26:04,2021-03-26 04:30:00+00:00
P,HOURLY,A,139,2021-03-26 04:41:08,2021-03-26 04:45:00+00:00
P,HOURLY,A,139,2021-03-26 05:12:03,2021-03-26 05:15:00+00:00
P,HOURLY,A,139,2021-03-26 05:27:04,2021-03-26 05:30:00+00:00
P,HOURLY,A,139,2021-03-26 05:42:08,2021-03-26 05:45:00+00:00
P,HOURLY,A,139,2021-03-26 05:56:08,2021-03-26 06:00:00+00:00
P,HOURLY,A,139,2021-03-26 06:12:03,2021-03-26 06:15:00+00:00
P,HOURLY,A,139,2021-03-26 06:27:11,2021-03-26 06:30:00+00:00
P,HOURLY,A,139,2021-03-26 06:41:08,2021-03-26 06:45:00+00:00
P,HOURLY,A,139,2021-03-26 06:55:07,2021-03-26 07:00:00+00:00
P,HOURLY,A,139,2021-03-26 07:12:03,2021-03-26 07:15:00+00:00
P,HOURLY,A,139,2021-03-26 07:25:09,2021-03-26 07:30:00+00:00
P,HOURLY,A,138,2021-03-26 07:42:05,2021-03-26 07:45:00+00:00
P,HOURLY,A,137,2021-03-26 07:58:05,2021-03-26 08:00:00+00:00
P,HOURLY,A,135,2021-03-26 08:11:08,2021-03-26 08:15:00+00:00
P,HOURLY,A,132,2021-03-26 08:26:04,2021-03-26 08:30:00+00:00
P,HOURLY,A,128,2021-03-26 08:41:04,2021-03-26 08:45:00+00:00
P,HOURLY,A,123,2021-03-26 08:57:05,2021-03-26 09:00:00+00:00
P,HOURLY,A,116,2021-03-26 09:12:04,2021-03-26 09:15:00+00:00
P,HOURLY,A,105,2021-03-26 09:28:04,2021-03-26 09:30:00+00:00
P,HOURLY,A,103,2021-03-26 09:42:04,2021-03-26 09:45:00+00:00
P,HOURLY,A,103,2021-03-26 09:56:04,2021-03-26 10:00:00+00:00
P,HOURLY,A,101,2021-03-26 10:12:04,2021-03-26 10:15:00+00:00
P,HOURLY,A,101,2021-03-26 10:27:09,2021-03-26 10:30:00+00:00
P,HOURLY,A,94,2021-03-26 10:43:09,2021-03-26 10:45:00+00:00
P,HOURLY,A,90,2021-03-26 10:56:03,2021-03-26 11:00:00+00:00
P,HOURLY,A,88,2021-03-26 11:12:03,2021-03-26 11:15:00+00:00
P,HOURLY,A,92,2021-03-26 11:27:09,2021-03-26 11:30:00+00:00
P,HOURLY,A,86,2021-03-26 11:42:04,2021-03-26 11:45:00+00:00
P,HOURLY,A,71,2021-03-26 11:56:10,2021-03-26 12:00:00+00:00
P,HOURLY,A,55,2021-03-26 12:11:05,2021-03-26 12:15:00+00:00
P,HOURLY,A,51,2021-03-26 12:26:04,2021-03-26 12:30:00+00:00
P,HOURLY,A,34,2021-03-26 12:42:04,2021-03-26 12:45:00+00:00
P,HOURLY,A,29,2021-03-26 12:56:09,2021-03-26 13:00:00+00:00
P,HOURLY,A,3,2021-03-26 13:27:09,2021-03-26 13:30:00+00:00
P,HOURLY,A,5,2021-03-26 13:42:04,2021-03-26 13:45:00+00:00
P,HOURLY,A,0,2021-03-26 13:56:04,2021-03-26 14:00:00+00:00
P,HOURLY,A,0,2021-03-26 14:12:04,2021-03-26 14:15:00+00:00
P,HOURLY,A,0,2021-03-26 14:26:04,2021-03-26 14:30:00+00:00
P,HOURLY,A,2,2021-03-26 14:42:04,2021-03-26 14:45:00+00:00
P,HOURLY,A,6,2021-03-26 14:56:04,2021-03-26 15:00:00+00:00
P,HOURLY,A,11,2021-03-26 15:11:09,2021-03-26 15:15:00+00:00
P,HOURLY,A,5,2021-03-26 15:28:04,2021-03-26 15:30:00+00:00
P,HOURLY,A,1,2021-03-26 15:42:03,2021-03-26 15:45:00+00:00
P,HOURLY,A,2,2021-03-26 15:56:03,2021-03-26 16:00:00+00:00
P,HOURLY,A,4,2021-03-26 16:12:03,2021-03-26 16:15:00+00:00
P,HOURLY,A,3,2021-03-26 16:28:04,2021-03-26 16:30:00+00:00
P,HOURLY,A,1,2021-03-26 16:42:04,2021-03-26 16:45:00+00:00
P,HOURLY,A,13,2021-03-26 16:56:04,2021-03-26 17:00:00+00:00
P,HOURLY,A,21,2021-03-26 17:12:03,2021-03-26 17:15:00+00:00
P,HOURLY,A,18,2021-03-26 17:28:03,2021-03-26 17:30:00+00:00
P,HOURLY,A,26,2021-03-26 17:42:03,2021-03-26 17:45:00+00:00
P,HOURLY,A,35,2021-03-26 17:56:04,2021-03-26 18:00:00+00:00
P,HOURLY,A,45,2021-03-26 18:12:04,2021-03-26 18:15:00+00:00
P,HOURLY,A,41,2021-03-26 18:28:03,2021-03-26 18:30:00+00:00
P,HOURLY,A,30,2021-03-26 18:42:04,2021-03-26 18:45:00+00:00
P,HOURLY,A,23,2021-03-26 18:58:03,2021-03-26 19:00:00+00:00
P,HOURLY,A,27,2021-03-26 19:12:04,2021-03-26 19:15:00+00:00
P,HOURLY,A,28,2021-03-26 19:27:07,2021-03-26 19:30:00+00:00
P,HOURLY,A,19,2021-03-26 19:42:03,2021-03-26 19:45:00+00:00
P,HOURLY,A,20,2021-03-26 19:56:03,2021-03-26 20:00:00+00:00
P,HOURLY,A,18,2021-03-26 20:12:04,2021-03-26 20:15:00+00:00
P,HOURLY,A,22,2021-03-26 20:26:03,2021-03-26 20:30:00+00:00
P,HOURLY,A,35,2021-03-26 20:42:03,2021-03-26 20:45:00+00:00
P,HOURLY,A,37,2021-03-26 20:56:03,2021-03-26 21:00:00+00:00
P,HOURLY,A,46,2021-03-26 21:12:03,2021-03-26 21:15:00+00:00
P,HOURLY,A,59,2021-03-26 21:28:04,2021-03-26 21:30:00+00:00
P,HOURLY,A,72,2021-03-26 21:42:04,2021-03-26 21:45:00+00:00
P,HOURLY,A,83,2021-03-26 21:56:03,2021-03-26 22:00:00+00:00
P,HOURLY,A,103,2021-03-26 22:12:03,2021-03-26 22:15:00+00:00
P,HOURLY,A,123,2021-03-26 22:28:04,2021-03-26 22:30:00+00:00
P,HOURLY,A,131,2021-03-26 22:42:04,2021-03-26 22:45:00+00:00
P,HOURLY,A,133,2021-03-26 22:58:03,2021-03-26 23:00:00+00:00
P,HOURLY,A,133,2021-03-26 23:12:05,2021-03-26 23:15:00+00:00
P,HOURLY,A,134,2021-03-26 23:28:03,2021-03-26 23:30:00+00:00
P,HOURLY,A,134,2021-03-26 23:42:03,2021-03-26 23:45:00+00:00
P,HOURLY,A,133,2021-03-26 23:58:04,2021-03-27 00:00:00+00:00
P,HOURLY,A,134,2021-03-27 00:12:04,2021-03-27 00:15:00+00:00
P,HOURLY,A,136,2021-03-27 00:28:03,2021-03-27 00:30:00+00:00
P,HOURLY,A,137,2021-03-27 00:41:08,2021-03-27 00:45:00+00:00
P,HOURLY,A,137,2021-03-27 00:56:04,2021-03-27 01:00:00+00:00
P,HOURLY,A,137,2021-03-27 01:12:03,2021-03-27 01:15:00+00:00
P,HOURLY,A,138,2021-03-27 01:28:03,2021-03-27 01:30:00+00:00
P,HOURLY,A,138,2021-03-27 01:42:03,2021-03-27 01:45:00+00:00
P,HOURLY,A,138,2021-03-27 01:56:03,2021-03-27 02:00:00+00:00
P,HOURLY,A,138,2021-03-27 02:28:04,2021-03-27 02:30:00+00:00
P,HOURLY,A,138,2021-03-27 02:42:03,2021-03-27 02:45:00+00:00
P,HOURLY,A,138,2021-03-27 02:56:03,2021-03-27 03:00:00+00:00
P,HOURLY,A,138,2021-03-27 03:12:04,2021-03-27 03:15:00+00:00
P,HOURLY,A,138,2021-03-27 03:26:04,2021-03-27 03:30:00+00:00
P,HOURLY,A,138,2021-03-27 03:42:03,2021-03-27 03:45:00+00:00
P,HOURLY,A,138,2021-03-27 03:56:03,2021-03-27 04:00:00+00:00
P,HOURLY,A,138,2021-03-27 04:12:04,2021-03-27 04:15:00+00:00
P,HOURLY,A,138,2021-03-27 04:26:03,2021-03-27 04:30:00+00:00
P,HOURLY,A,138,2021-03-27 04:42:04,2021-03-27 04:45:00+00:00
P,HOURLY,A,138,2021-03-27 04:56:03,2021-03-27 05:00:00+00:00
P,HOURLY,A,138,2021-03-27 05:12:03,2021-03-27 05:15:00+00:00
P,HOURLY,A,138,2021-03-27 05:27:08,2021-03-27 05:30:00+00:00
P,HOURLY,A,138,2021-03-27 05:42:04,2021-03-27 05:45:00+00:00
P,HOURLY,A,138,2021-03-27 05:56:04,2021-03-27 06:00:00+00:00
P,HOURLY,A,138,2021-03-27 06:12:04,2021-03-27 06:15:00+00:00
P,HOURLY,A,138,2021-03-27 06:26:03,2021-03-27 06:30:00+00:00
P,HOURLY,A,138,2021-03-27 06:42:03,2021-03-27 06:45:00+00:00
P,HOURLY,A,138,2021-03-27 06:58:04,2021-03-27 07:00:00+00:00
P,HOURLY,A,138,2021-03-27 07:12:03,2021-03-27 07:15:00+00:00
P,HOURLY,A,138,2021-03-27 07:26:03,2021-03-27 07:30:00+00:00
P,HOURLY,A,136,2021-03-27 07:42:04,2021-03-27 07:45:00+00:00
P,HOURLY,A,136,2021-03-27 07:58:04,2021-03-27 08:00:00+00:00
P,HOURLY,A,135,2021-03-27 08:12:04,2021-03-27 08:15:00+00:00
P,HOURLY,A,135,2021-03-27 08:27:09,2021-03-27 08:30:00+00:00
P,HOURLY,A,133,2021-03-27 08:42:03,2021-03-27 08:45:00+00:00
P,HOURLY,A,128,2021-03-27 08:58:03,2021-03-27 09:00:00+00:00
P,HOURLY,A,121,2021-03-27 09:12:05,2021-03-27 09:15:00+00:00
P,HOURLY,A,117,2021-03-27 09:28:04,2021-03-27 09:30:00+00:00
P,HOURLY,A,113,2021-03-27 09:42:04,2021-03-27 09:45:00+00:00
P,HOURLY,A,106,2021-03-27 09:58:05,2021-03-27 10:00:00+00:00
P,HOURLY,A,104,2021-03-27 10:12:04,2021-03-27 10:15:00+00:00
P,HOURLY,A,90,2021-03-27 10:28:03,2021-03-27 10:30:00+00:00
P,HOURLY,A,83,2021-03-27 10:42:03,2021-03-27 10:45:00+00:00
P,HOURLY,A,71,2021-03-27 10:56:06,2021-03-27 11:00:00+00:00
P,HOURLY,A,69,2021-03-27 11:12:03,2021-03-27 11:15:00+00:00
P,HOURLY,A,63,2021-03-27 11:26:04,2021-03-27 11:30:00+00:00
P,HOURLY,A,48,2021-03-27 11:42:04,2021-03-27 11:45:00+00:00
P,HOURLY,A,29,2021-03-27 11:58:03,2021-03-27 12:00:00+00:00
P,HOURLY,A,16,2021-03-27 12:12:04,2021-03-27 12:15:00+00:00
P,HOURLY,A,6,2021-03-27 12:26:06,2021-03-27 12:30:00+00:00
P,HOURLY,A,0,2021-03-27 12:42:04,2021-03-27 12:45:00+00:00
P,HOURLY,A,0,2021-03-27 12:56:04,2021-03-27 13:00:00+00:00
P,HOURLY,A,1,2021-03-27 13:12:04,2021-03-27 13:15:00+00:00
P,HOURLY,A,4,2021-03-27 13:27:10,2021-03-27 13:30:00+00:00
P,HOURLY,A,10,2021-03-27 13:42:04,2021-03-27 13:45:00+00:00
P,HOURLY,A,1,2021-03-27 13:58:03,2021-03-27 14:00:00+00:00
P,HOURLY,A,0,2021-03-27 14:12:04,2021-03-27 14:15:00+00:00
P,HOURLY,A,9,2021-03-27 14:26:04,2021-03-27 14:30:00+00:00
P,HOURLY,A,5,2021-03-27 14:42:04,2021-03-27 14:45:00+00:00
P,HOURLY,A,1,2021-03-27 14:55:08,2021-03-27 15:00:00+00:00
P,HOURLY,A,6,2021-03-27 15:12:04,2021-03-27 15:15:00+00:00
P,HOURLY,A,4,2021-03-27 15:26:04,2021-03-27 15:30:00+00:00
P,HOURLY,A,2,2021-03-27 15:42:03,2021-03-27 15:45:00+00:00
P,HOURLY,A,2,2021-03-27 15:56:03,2021-03-27 16:00:00+00:00
P,HOURLY,A,1,2021-03-27 16:12:03,2021-03-27 16:15:00+00:00
P,HOURLY,A,8,2021-03-27 16:26:04,2021-03-27 16:30:00+00:00
P,HOURLY,A,4,2021-03-27 16:42:04,2021-03-27 16:45:00+00:00
P,HOURLY,A,11,2021-03-27 16:56:04,2021-03-27 17:00:00+00:00
P,HOURLY,A,5,2021-03-27 17:12:04,2021-03-27 17:15:00+00:00
P,HOURLY,A,12,2021-03-27 17:28:04,2021-03-27 17:30:00+00:00
P,HOURLY,A,16,2021-03-27 17:43:09,2021-03-27 17:45:00+00:00
P,HOURLY,A,19,2021-03-27 17:56:03,2021-03-27 18:00:00+00:00
P,HOURLY,A,15,2021-03-27 18:12:04,2021-03-27 18:15:00+00:00
P,HOURLY,A,10,2021-03-27 18:26:03,2021-03-27 18:30:00+00:00
P,HOURLY,A,12,2021-03-27 18:58:04,2021-03-27 19:00:00+00:00
P,HOURLY,A,2,2021-03-27 19:12:04,2021-03-27 19:15:00+00:00
P,HOURLY,A,3,2021-03-27 19:26:03,2021-03-27 19:30:00+00:00
P,HOURLY,A,12,2021-03-27 19:42:03,2021-03-27 19:45:00+00:00
P,HOURLY,A,14,2021-03-27 19:56:04,2021-03-27 20:00:00+00:00
P,HOURLY,A,5,2021-03-27 20:12:03,2021-03-27 20:15:00+00:00
P,HOURLY,A,7,2021-03-27 20:28:06,2021-03-27 20:30:00+00:00
P,HOURLY,A,20,2021-03-27 20:42:03,2021-03-27 20:45:00+00:00
P,HOURLY,A,30,2021-03-27 20:56:04,2021-03-27 21:00:00+00:00
P,HOURLY,A,50,2021-03-27 21:12:04,2021-03-27 21:15:00+00:00
P,HOURLY,A,70,2021-03-27 21:28:03,2021-03-27 21:30:00+00:00
P,HOURLY,A,86,2021-03-27 21:42:03,2021-03-27 21:45:00+00:00
P,HOURLY,A,104,2021-03-27 21:58:04,2021-03-27 22:00:00+00:00
P,HOURLY,A,118,2021-03-27 22:12:04,2021-03-27 22:15:00+00:00
P,HOURLY,A,122,2021-03-27 22:26:03,2021-03-27 22:30:00+00:00
P,HOURLY,A,125,2021-03-27 22:43:09,2021-03-27 22:45:00+00:00
P,HOURLY,A,128,2021-03-27 22:58:03,2021-03-27 23:00:00+00:00
P,HOURLY,A,130,2021-03-27 23:42:04,2021-03-27 23:45:00+00:00
P,HOURLY,A,130,2021-03-27 23:56:03,2021-03-28 00:00:00+00:00
P,HOURLY,A,131,2021-03-28 00:12:04,2021-03-28 00:15:00+00:00
P,HOURLY,A,131,2021-03-28 00:26:03,2021-03-28 00:30:00+00:00
P,HOURLY,A,131,2021-03-28 00:42:03,2021-03-28 00:45:00+00:00
P,HOURLY,A,131,2021-03-28 00:56:04,2021-03-28 01:00:00+00:00
P,HOURLY,A,131,2021-03-28 01:12:03,2021-03-28 01:15:00+00:00
P,HOURLY,A,131,2021-03-28 01:28:03,2021-03-28 01:30:00+00:00
P,HOURLY,A,131,2021-03-28 01:42:03,2021-03-28 01:45:00+00:00
P,HOURLY,A,131,2021-03-28 01:56:03,2021-03-28 02:00:00+00:00
P,HOURLY,A,131,2021-03-28 02:12:03,2021-03-28 02:15:00+00:00
P,HOURLY,A,131,2021-03-28 02:26:03,2021-03-28 02:30:00+00:00
P,HOURLY,A,131,2021-03-28 02:42:04,2021-03-28 02:45:00+00:00
P,HOURLY,A,131,2021-03-28 02:56:03,2021-03-28 03:00:00+00:00
P,HOURLY,A,131,2021-03-28 03:12:03,2021-03-28 03:15:00+00:00
P,HOURLY,A,131,2021-03-28 03:26:03,2021-03-28 03:30:00+00:00
P,HOURLY,A,131,2021-03-28 03:42:03,2021-03-28 03:45:00+00:00
P,HOURLY,A,131,2021-03-28 03:56:03,2021-03-28 04:00:00+00:00
P,HOURLY,A,131,2021-03-28 04:12:04,2021-03-28 04:15:00+00:00
P,HOURLY,A,131,2021-03-28 04:27:08,2021-03-28 04:30:00+00:00
P,HOURLY,A,131,2021-03-28 04:42:03,2021-03-28 04:45:00+00:00
P,HOURLY,A,131,2021-03-28 04:56:04,2021-03-28 05:00:00+00:00
