type,category,vacancy_type,vacancy,lastupdate,time of api
P,HOURLY,A,143,2021-03-10 03:43:03,2021-03-10 03:45:00+00:00
P,HOURLY,A,143,2021-03-10 03:57:03,2021-03-10 04:00:00+00:00
P,HOURLY,A,143,2021-03-10 04:11:03,2021-03-10 04:15:00+00:00
P,HOURLY,A,143,2021-03-10 04:27:03,2021-03-10 04:30:00+00:00
P,HOURLY,A,143,2021-03-10 04:41:03,2021-03-10 04:45:00+00:00
P,HOURLY,A,143,2021-03-10 04:57:03,2021-03-10 05:00:00+00:00
P,HOURLY,A,143,2021-03-10 05:13:03,2021-03-10 05:15:00+00:00
P,HOURLY,A,143,2021-03-10 05:27:03,2021-03-10 05:30:00+00:00
P,HOURLY,A,143,2021-03-10 05:41:03,2021-03-10 05:45:00+00:00
P,HOURLY,A,143,2021-03-10 05:57:03,2021-03-10 06:00:00+00:00
P,HOURLY,A,143,2021-03-10 06:11:03,2021-03-10 06:15:00+00:00
P,HOURLY,A,143,2021-03-10 06:27:03,2021-03-10 06:30:00+00:00
P,HOURLY,A,143,2021-03-10 06:41:03,2021-03-10 06:45:00+00:00
P,HOURLY,A,143,2021-03-10 06:57:03,2021-03-10 07:00:00+00:00
P,HOURLY,A,143,2021-03-10 07:13:03,2021-03-10 07:15:00+00:00
P,HOURLY,A,143,2021-03-10 07:27:03,2021-03-10 07:30:00+00:00
P,HOURLY,A,142,2021-03-10 07:43:03,2021-03-10 07:45:00+00:00
P,HOURLY,A,143,2021-03-10 07:57:03,2021-03-10 08:00:00+00:00
P,HOURLY,A,139,2021-03-10 08:11:03,2021-03-10 08:15:00+00:00
P,HOURLY,A,134,2021-03-10 08:27:03,2021-03-10 08:30:00+00:00
P,HOURLY,A,131,2021-03-10 08:43:03,2021-03-10 08:45:00+00:00
P,HOURLY,A,126,2021-03-10 08:57:03,2021-03-10 09:00:00+00:00
P,HOURLY,A,119,2021-03-10 09:11:03,2021-03-10 09:15:00+00:00
P,HOURLY,A,109,2021-03-10 09:27:03,2021-03-10 09:30:00+00:00
P,HOURLY,A,108,2021-03-10 09:43:03,2021-03-10 09:45:00+00:00
P,HOURLY,A,106,2021-03-10 09:57:03,2021-03-10 10:00:00+00:00
P,HOURLY,A,98,2021-03-10 10:13:03,2021-03-10 10:15:00+00:00
P,HOURLY,A,95,2021-03-10 10:27:03,2021-03-10 10:30:00+00:00
P,HOURLY,A,93,2021-03-10 10:41:03,2021-03-10 10:45:00+00:00
P,HOURLY,A,77,2021-03-10 10:57:04,2021-03-10 11:00:00+00:00
P,HOURLY,A,70,2021-03-10 11:11:08,2021-03-10 11:15:00+00:00
P,HOURLY,A,63,2021-03-10 11:27:03,2021-03-10 11:30:00+00:00
